frac_trainable,fwd_time,fwd_std,bwd_time,bwd_std,memory,median_loop_time
0.00048188350836593513,0.01716831448720768,0.0037982593303759297,0.000506429496454075,4.569516191530177e-05,197.6982421875,0.022783676511608064
0.10543305429244379,0.017168344522360712,0.0036130972526334047,0.0012243960227351636,4.2401896416440754e-05,232.9326171875,0.023601249005878344
0.21038422507652163,0.017373395996401086,0.003095693085737027,0.0018025810131803155,0.00029984214431157087,267.5419921875,0.02455344799091108
0.3524223171564875,0.01656750901020132,0.0017561184475918207,0.0024822429986670613,0.0004644744230082571,314.7451171875,0.024632258515339345
0.3786962334771458,0.017613889009226114,0.0032602201152953725,0.0031213289767038077,0.0006010454817621554,321.4560546875,0.02643222047481686
0.4049701497978041,0.017593228025361896,0.002370644608318046,0.003641628980403766,0.00065999709933399,330.2919921875,0.0270812569942791
0.43124406611846244,0.017817750485846773,0.0033385958110382853,0.004183643992291763,0.0007561726993103602,339.6279296875,0.0280516600178089
0.45751798243912073,0.017804164992412552,0.0030204494184340384,0.004701914003817365,0.0006381543227662025,348.2138671875,0.02876846748404205
0.48379189875977907,0.018079422967275605,0.004507044275460209,0.005618182010948658,0.0007206054851120817,356.9873046875,0.03037391198449768
0.5100658150804374,0.01816023897845298,0.0035876710963256052,0.006253038009162992,0.0007155657226656576,365.0107421875,0.031272115011233836
0.5363397314010957,0.01822031900519505,0.002229453045951932,0.006796727975597605,0.0007864387196057123,374.5341796875,0.03206887250416912
0.562613647721754,0.018241358979139477,0.004966214391323288,0.007368303980911151,0.0012750284075584927,382.8076171875,0.03282676500384696
0.5888875640424124,0.018348131008679047,0.0010988633210949218,0.007384223485132679,0.0009454374555956862,390.3310546875,0.03303364649764262
0.6151614803630706,0.01858627746696584,0.004871369877826893,0.00850715400883928,0.0008296626689228314,399.8544921875,0.03459693648619577
0.641435396683729,0.01856229203986004,0.004814809022843613,0.008388907997868955,0.00047773478065507043,410.1279296875,0.03438610950252041
0.6677093130043873,0.01852616702672094,0.004407797250472557,0.008894013037206605,0.0013412572154409485,417.1513671875,0.03488903399556875
0.6939832293250456,0.01863960799528286,0.0032789105555156867,0.009440077497856691,0.0010407696264241957,425.9248046875,0.035796402517007664
0.7202571456457039,0.018837874988093972,0.0016007044441466599,0.009978493006201461,0.0010287194162666119,435.9482421875,0.03669656103011221
0.7465310619663622,0.018917586014140397,0.0022855316040475554,0.010541158000705764,0.0018540259968015823,443.4716796875,0.037498748512007296
0.7728049782870205,0.01892794598825276,0.0048946719544711486,0.011071293003624305,0.0019646959952600352,452.4951171875,0.038129263994051144
0.7990788946076789,0.01914206799119711,0.003956658237181087,0.01157035754295066,0.002090246495246506,462.7685546875,0.039145253016613424
0.8253528109283371,0.019223859009798616,0.0036295960761944797,0.0120723019936122,0.0012864124192569438,470.7919921875,0.03977888901135884
0.8516267272489955,0.01928441901691258,0.0031643968702948317,0.012621582485735416,0.0017367651139707093,479.0654296875,0.04062161751789972
0.8779006435696538,0.019200868991902098,0.003279272804099367,0.013122971984557807,0.0030018172682753403,489.0888671875,0.04107585601741448
0.9041745598903121,0.019483045500237495,0.004036036255707036,0.013673206995008513,0.0012136674753735997,496.6123046875,0.04225639801006764
0.9304484762109705,0.01969333298620768,0.002529204783542581,0.015225226990878582,0.0020543002066829314,506.1357421875,0.04458187447744422
0.9660182052720266,0.01945981101016514,0.0004591347030537092,0.014801777026150376,0.00012460002321810227,518.1748046875,0.04355734449927695
0.9726047461645106,0.019868554518325254,0.0028995368230453275,0.016354911989765242,0.001936042284157386,515.0615234375,0.046419676509685814
0.9791912870569947,0.019860039494233206,0.004195983852670285,0.016011949017411098,0.0026621883846731824,517.5732421875,0.04557611848576926
0.9857778279494787,0.019911470008082688,0.0009666673721450361,0.017652223992627114,0.0010621166448495634,522.2099609375,0.04789339052513242
0.9947003632352751,0.020113347010919824,0.004248348112887456,0.018236404517665505,0.0005253115963704638,529.2294921875,0.049362499004928395
0.9963560293645558,0.020022101001814008,0.0036129734429143174,0.01766289901570417,0.002147481462284397,529.7685546875,0.051670776010723785
0.9980116954938365,0.020157927996478975,0.0033832650934557166,0.01844998696469702,0.001193138863769798,529.5576171875,0.05504108147579245
0.9997757324970338,0.02037764448323287,0.0011402445063516363,0.020105422008782625,0.004728300605733233,530.8818359375,0.059361302002798766
0.9997787427990871,0.020411924488143995,0.0038372805278069234,0.020077756489627063,0.0011373273171845827,530.8837890625,0.06145221149199642
